school,latitude,longitude
Alcova Elementary School,33.5805,-83.5357
Alford Elementary School,33.92549965,-84.07083248565023
Anderson-Livsey Elementary School,33.77547,-84.05007160227274
Annistown Elementary School,33.4812,-84.0407
Arcado Elementary School,33.5224,-84.0825
Archer High School,33.91589055,-83.89347288987145
Baggett Elementary School,33.5657,-84.0357
Baldwin Elementary School,33.9387245,-84.2037716
Bay Creek Middle School,33.875514,-83.9601789
Beaver Ridge Elementary School,33.9342689,-84.1732509
Benefield Elementary School,33.5716,-84.0149
Berkeley Lake Elementary School,33.5840,-84.1109
Berkmar High School,33.90692405,-84.11491144187141
Berkmar Middle School,33.90364005,-84.1281264941546
Bethesda Elementary School,33.9253811,-84.0854685
Britt Elementary School,33.85203,-84.0101343
Brookwood Elementary School,33.88099535,-84.04159030648995
Brookwood High School,33.883342299999995,-84.04130364467798
Buice Center,34.0019,-84.0403
Burnette Elementary School,34.0150,-840344
Camp Creek Elementary School,33.5140,-84.0700
Cedar Hill Elementary School,33.927262049999996,-84.02232527690941
Centerville Elementary School,33.8228843,-84.0357455
Central Gwinnett High School,33.9489926,-83.9996298
Chattahoochee Elementary School,34.0182265,-84.14766817848047
Chesney Elementary School,33.5735,-84.0849
Coleman Middle School,34.0014,-84.0834
Collins Hill High School,34.0165587,-84.0210152
Cooper Elementary School,33.5328,-83.5452
Corley Elementary School,33.9366206,-84.12305269826194
Couch Middle School,33.9007033,-83.9669932
Craig Elementary School,33.90213635,-84.01844338114682
Creekland Middle School,34.001598,-84.0078418
Crews Middle School,33.906966600000004,-84.00974153238744
Dacula Elementary School,33.99974765,-83.90324160031258
Dacula High School,33.99160385,-83.89967158413998
Dacula Middle School,33.99180045,-83.89534278954329
Discovery High School,33.955675400000004,-84.03482776383278
Duluth High School,34.0098229,-84.1443598
Duluth Middle School,33.987445550000004,-84.1583893261834
Duncan Creek Elementary School,34.0753104,-83.8714163
Dyer Elementary School,33.5947,-83.5612
Ferguson Elementary School,33.5703,-84.0720
Five Forks Middle School,33.8839911,-84.06924569400792
Fort Daniel Elementary School,34.0448461,-83.9238928
Freeman's Mill Elementary School,34.029,-83.9339
Grace Snell Middle School,33.841662400000004,-83.94391889511479
Graves Elementary School,33.9017949,-84.22421212277148
Grayson Elementary School,33.891593900000004,-83.95705161263163
Grayson High School,33.8685422,-83.9240404
Gwin Oaks Elementary School,33.8954782,-84.074083689569
Harbins Elementary School,33.9437916,-83.8575307
Harmony Elementary School,34.0971824,-83.9796113
Harris Elementary School,33.5911,-84.0803
Head Elementary School,33.8540358,-84.06483386077326
Hopkins Elementary School,33.9078809,-84.1474164
Hull Middle School,34.01377625,-84.10349012017204
Ivy Creek Elementary School,34.0970241,-83.93656909526285
Jackson Elementary School,33.988234500000004,-84.06127847101841
Jenkins Elementary School,33.959887249999994,-83.96665532112254
Jones Middle School,34.1031664,-83.9379517
Jordan Middle School,33.96194,-83.969507797332
Kanoheda Elementary School,33.9463,-84.079
Knight Elementary School,33.88585705,-84.10019031658004
Lanier High School,34.0865491,-84.03645401701499
Lanier Middle School,34.148144349999995,-84.0654186072951
Lawrenceville Elementary School,33.945897900000006,-83.99524526240018
Level Creek Elementary School,34.0705553,-84.07145915993084
Lilburn Elementary School,33.5331,-84.0909
Lilburn Middle School,33.8884369,-84.1443608
Lovin Elementary School,33.923072149999996,-83.92216514047108
Magill Elementary School,33.8388041,-83.94180889351506
Mason Elementary School,33.996340599999996,-84.11875826514117
McConnell Middle School,33.8936645,-83.9155713
McKendree Elementary School,33.5840,-84.0137
Meadowcreek Elementary School,33.5517,-84.0955
Meadowcreek High School,33.9223249,-84.1482496
Mill Creek High School,34.0787598,-83.87857947577518
Minor Elementary School,33.9176031,-84.129082
Moore Middle School,33.939504,-84.02142070791817
Mountain Park Elementary School,33.84004165,-84.11523316317789
Mountain View High School,34.0303,-83.5707
Mulberry Elementary School,34.0154,-83.5145
Nesbit Elementary School,33.5232,-84.1156
Norcross Elementary School,33.9451015,-84.2071416
Norcross High School,33.966946199999995,-84.21201888315217
North Gwinnett High School,34.085417899999996,-84.07018637617647
North Gwinnett Middle School,34.07901495,-84.0614419052022
Northbrook Middle School,34.0019,-84.0403
Norton Elementary School,33.8098983,-84.0098305
Osborne Middle School,34.0780832,-83.8737326
Parkview High School,33.8601046,-84.1151931
Parsons Elementary School,34.0048,-84.0528
Partee Elementary School,33.7936923,-84.0537747
Patrick Elementary School,34.0890589,-83.95743417337643
Peachtree Elementary School,33.9628786,-84.2365878
Peachtree Ridge High School,34.013076100000006,-84.08724292027458
Pharr Elementary School,33.89058205,-84.00559476703074
Pinckneyville Middle School,33.984457899999995,-84.22906339380658
Puckett's Mill Elementary School,34.0354,-83.5555
Radloff Middle School,33.5644,-84.0825
Richards Middle School,33.928232699999995,-84.01967375009521
Riverside Elementary School,34.093371649999995,-84.09696670561533
Roberts Elementary School,34.07246485,-84.05124209045074
Rock Springs Elementary School,34.0300,-84.0022
Rockbridge Elementary School,33.8996161,-84.1950312
Rosebud Elementary School,33.4905,-83.5752
Seckinger High School,34.0447,-835442
Shiloh Elementary School,33.4922,-84.0409
Shiloh High School,33.8234393,-84.0707471
Shiloh Middle School,33.4932,-84.0423
Simonton Elementary School,33.5613,-83.5722
Simpson Elementary School,33.99882695,-84.22944559794936
Snellville Middle School,33.8337177,-84.0032438
South Gwinnett High School,33.854011650000004,-84.00809573876323
Starling Elementary School,33.902589,-83.9656687
Stripling Elementary School,33.9441,-84.2301
Sugar Hill Elementary School,34.0997823,-84.040009
Summerour Middle School,33.940935,-84.2021414
Suwanee Elementary School,34.0487122,-84.054632
Sweetwater Middle School,33.926885850000005,-84.10719732683302
Sycamore Elementary School,34.1258994,-84.04469191618715
Taylor Elementary School,34.0102749,-83.99586753708766
Trickum Middle School,33.88643685,-84.11982679562503
Trip Elementary School,33.8720667,-83.9604686
Twin Rivers Middle School,34.0243,-83.5645
Walnut Grove Elementary School,34.0175894,-84.023106
White Oak Elementary School,34.14610345,-84.06633049999908
Winn Holt Elementary School,33.9263039,-83.9991763
Woodward Mill Elementary School,34.0130,-83.5915
